210-AJBG;"Dell P1917S - LED monitor - 19"" (19"" viewable) - 1280 x 1024 - IPS - 250 cd/mz - 1000:1 - 6 ms - HDMI. VGA. DisplayPort";139.64;
210-AJXQ;"Dell E2417H - LED monitor - 23.8"" (23.8"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 8 ms - VGA. DisplayPort";127.47;
210-AMLV;"Dell E2218HN - LED monitor - 22"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - TN - 250 cd/mz - 1000:1 - 5 ms - HDMI. VGA";92.77;
243V7QJABF/00;"Philips V-line 243V7QJABF - LED monitor - 24"" (23.8"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 5 ms - HDMI. VGA. DisplayPort - speakers - textured black";120.18;
19S4QAB/00;"Philips S-line 19S4QAB - LED monitor - 19"" - 1280 x 1024 - IPS - 250 cd/mz - 1000:1 - 5 ms - DVI-D. VGA - speakers - textured black";110.06;
210-AEVE;"Dell UltraSharp U2415 - LED monitor - 24.1"" (24.1"" viewable) - 1920 x 1200 - IPS - 300 cd/mz - 1000:1 - 6 ms - 2xHDMI (MHL). DisplayPort. Mini DisplayPort - black - with 3-years Premium Panel Exchange service";244.36;
210-AFOW;"Dell E1916H - LED monitor - 18.51"" (18.51"" viewable) - 1366 x 768 - TN - 200 cd/mz - 600:1 - 5 ms - VGA. DisplayPort - black - with 3-Years Advance Exchange Service";86.31;
210-ADYS;"Dell UltraSharp U3415W - LED monitor - curved - 34"" (34"" viewable) - 3440 x 1440 - IPS - 300 cd/mz - 1000:1 - 5 ms - 2xHDMI. DisplayPort. Mini DisplayPort. MHL - speakers - black - with 3-Years Advance Exchange Service";723.58;
210-AICW;"Dell UltraSharp U2717D - LED monitor - 27"" (27"" viewable) - 2560 x 1440 QHD - IPS - 350 cd/mz - 1000:1 - 6 ms - HDMI (MHL). DisplayPort. Mini DisplayPort - black";429.08;
210-AICG;"Dell UltraSharp U2717DA - LED monitor - 27"" (27"" viewable) - 2560 x 1440 QHD - IPS - 350 cd/mz - 1000:1 - 6 ms - HDMI (MHL). DisplayPort. Mini DisplayPort - black - with 3-Years Advanced Exchange Warranty";469.24;
210-AFOQ;"Dell P2016 - LED monitor - 20"" (19.45"" viewable) - 1440 x 900 HD 720p - IPS - 250 cd/mz - 1000:1 - 6 ms - VGA. DisplayPort - black - with 3-years Premium Panel Exchange service";118.07;
210-AJEX_5Y;"Dell P2417H 23.8 "". IPS. FHD. 1920 x 1080 pixels. 16:9. 6 ms. 250 cd/mz. Black. Warranty 60 month(s)";173.49;
61ABMAT1EU;"Lenovo ThinkVision T23i-10 - LED monitor - 23"" (23"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 4 ms - HDMI. VGA. DisplayPort - raven black";197.47;
